|  5460942 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:56:59 | az13077 |           1 |
|  5460943 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:57:29 | az13077 |           1 |
|  5460944 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:57:59 | az13077 |           1 |
|  5460945 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:58:30 | az13077 |           1 |
|  5460946 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:59:00 | az13077 |           1 |
|  5460947 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 16:59:30 | az13077 |           1 |
|  5460948 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:00:01 | az13077 |           1 |
|  5460949 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:00:32 | az13077 |           1 |
|  5460950 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:01:02 | az13077 |           1 |
|  5460951 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:01:32 | az13077 |           1 |
|  5460952 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:02:03 | az13077 |           1 |
|  5460953 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:02:33 | az13077 |           1 |
